"SERIESDATE","Time","Recap_Date","YR","MON","Depth","Temp","Vented","Hook","Pred","Baro_cond","FLM","TagNo","Recap","Recapture_Date","Time_at_large","StartDate","EndDate","Start_Index","End_Index","layer"
"2022-01-12",12,NA,"2022","1",29,19.3285732269287,1,0,1,"3",0.34,"GM07662",0,NA,NA,2022-01-01,NA,1,12,78
"2022-01-12",12,NA,"2022","1",27,19.3128700256348,1,0,1,"3",0.341,"GM07769",0,NA,NA,2022-01-01,NA,1,12,78
"2022-01-12",12,NA,"2022","1",28,19.3128700256348,1,0,0,"3",0.34,"GM07771",0,NA,NA,2022-01-01,NA,1,12,78
"2022-01-12",12,NA,"2022","1",28,19.3128700256348,1,0,0,"3",0.299,"GM07770",0,NA,NA,2022-01-01,NA,1,12,78
"2022-01-28",12,NA,"2022","1",37,19.0269756317139,1,0,0,"3",0.333,"GM12033",0,NA,NA,2022-01-01,NA,1,12,42
"2022-01-28",12,NA,"2022","1",37,19.0269756317139,1,0,0,"3",0.319,"GM12034",0,NA,NA,2022-01-01,NA,1,12,42
"2022-01-28",2,"18-Apr-22","2022","1",37,19.0269756317139,1,0,0,"3",0.346,"GM12031",1,2022-04-18,80,2022-01-01,2022-04-01,1,2,42
"2022-01-28",2,"18-Apr-22","2022","1",37,19.0269756317139,1,0,0,"3",0.38,"GM12032",1,2022-04-18,80,2022-01-01,2022-04-01,1,2,42
"2022-02-09",1,"3-Mar-22","2022","2",31,18.8557453155518,1,0,0,"3",0.316,"GM07772",1,2022-03-03,22,2022-01-01,2022-01-01,1,1,77
"2022-02-09",12,NA,"2022","2",31,18.8557453155518,1,0,0,"3",0.306,"GM07773",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",12,NA,"2022","2",31,18.8557453155518,1,0,0,"3",0.34,"GM07774",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",12,NA,"2022","2",31,18.8557453155518,1,0,0,"3",0.359,"GM07776",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",12,NA,"2022","2",32,19.2190895080566,0,0,0,"3",0.376,"GM07780",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",12,NA,"2022","2",32,19.2190895080566,0,0,0,"3",0.325,"GM07779",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",12,NA,"2022","2",32,19.2190895080566,0,0,0,"3",0.32,"GM07778",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",2,"14-May-22","2022","2",32,19.2190895080566,0,0,0,"3",0.368,"GM07777",1,2022-05-14,94,2022-01-01,2022-04-01,1,2,77
"2022-02-09",12,NA,"2022","2",36,19.2526550292969,0,0,0,"3",0.36,"GM07781",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",2,"4-May-22","2022","2",36,19.2526550292969,1,0,0,"3",0.351,"GM07782",1,2022-05-04,84,2022-01-01,2022-04-01,1,2,77
"2022-02-09",12,NA,"2022","2",36,19.2526550292969,1,0,0,"3",0.288,"GM07785",0,NA,NA,2022-01-01,NA,1,12,77
"2022-02-09",2,"4-May-22","2022","2",36,19.2526550292969,1,0,0,"3",0.365,"GM07783",1,2022-05-04,84,2022-01-01,2022-04-01,1,2,77
"2022-02-09",1,"17-Mar-22","2022","2",36,19.2526550292969,1,0,0,"3",0.386,"GM07786",1,2022-03-17,36,2022-01-01,2022-01-01,1,1,77
"2022-02-11",1,"27-Feb-22","2022","2",38,16.2613162994385,0,0,1,"3",0.275,"GM12046",1,2022-02-27,16,2022-01-01,2022-01-01,1,1,76
"2022-02-11",9,"26-Feb-24","2022","2",38,16.2613162994385,1,0,1,"3",0.25,"GM12050",1,2024-02-26,745,2022-01-01,2024-01-01,1,9,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,1,0,1,"3",0.347,"GM12043",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,1,0,1,"3",0.326,"GM12045",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.356,"GM12047",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.345,"GM12054",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.295,"GM12049",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.324,"GM12036",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.344,"GM12040",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.321,"GM12051",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,1,0,1,"3",0.319,"GM12038",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,1,0,1,"3",0.286,"GM12048",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.324,"GM12053",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,1,0,1,"3",0.299,"GM12044",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-11",12,NA,"2022","2",38,16.2613162994385,0,0,1,"3",0.335,"GM12042",0,NA,NA,2022-01-01,NA,1,12,76
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,0,0,0,"3",0.303,"GM12057",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,1,0,0,"3",0.325,"GM12058",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,1,0,0,"3",0.341,"GM12063",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",1,"13-Mar-22","2022","2",32,17.1880073547363,1,0,0,"3",0.384,"GM12059",1,2022-03-13,26,2022-01-01,2022-01-01,1,1,43
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,1,0,0,"3",0.357,"GM12061",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,1,0,0,"3",0.356,"GM12056",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",2,"23-Apr-22","2022","2",32,17.1880073547363,1,0,0,"3",0.366,"GM12062",1,2022-04-23,67,2022-01-01,2022-04-01,1,2,43
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,1,0,0,"3",0.335,"GM12066",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",12,NA,"2022","2",32,17.1880073547363,1,0,0,"3",0.319,"GM12067",0,NA,NA,2022-01-01,NA,1,12,43
"2022-02-15",2,"13-May-22","2022","2",32,17.1880073547363,1,0,0,"3",0.32,"GM12060",1,2022-05-13,87,2022-01-01,2022-04-01,1,2,43
